Question,Answer,URL,Thumbnail URL,Supporting sentences,Post ID,Tag,Modality,Javascript URL,Javascript code,Version,UID
Does Australia show higher carbon monoxide concentration than Indonesia in October 2024?,,https://earthobservatory.nasa.gov/global-maps/MOP_CO_M/MOD14A1_M_FIRE,,"1. The carbon monoxide maps show the monthly averages of carbon monoxide at an altitude of about 12,000 feet, based on data from the MOPITT sensor on NASA’s Terra satellite. Concentrations of carbon monoxide are expressed in parts per billion by volume (ppbv).",,,,https://code.earthengine.google.com/639f0a6de5247561d62f79b39e26ae0f,"// Load Sentinel-5P Carbon Monoxide data for October 2024
var dataset = ee.ImageCollection('COPERNICUS/S5P/NRTI/L3_CO')
  .filter(ee.Filter.date('2024-10-01', '2024-10-31'))
  .select('CO_column_number_density');

// Define Australia and Indonesia boundaries
var australia = ee.FeatureCollection('USDOS/LSIB_SIMPLE/2017')
  .filter(ee.Filter.eq('country_na', 'Australia'));
  
var indonesia = ee.FeatureCollection('USDOS/LSIB_SIMPLE/2017')
  .filter(ee.Filter.eq('country_na', 'Indonesia'));

// Create visualization parameters for Carbon Monoxide
var coVis = {
  min: 0,
  max: 0.05,
  palette: ['black', 'blue', 'purple', 'cyan', 'green', 'yellow', 'red']
};

// Function to calculate mean CO for a specific region
function calculateMeanCO(dataset, region) {
  // Get the mean CO over the time period
  var meanCO = dataset.mean();
  
  // Calculate the average CO in the region
  var meanRegionalCO = meanCO.reduceRegion({
    reducer: ee.Reducer.mean(),
    geometry: region,
    scale: 10000,  // Scale in meters
    maxPixels: 1e12
  });
  
  return meanRegionalCO;
}

// Calculate the mean CO for both countries
var meanCO_Australia = calculateMeanCO(dataset, australia);
var meanCO_Indonesia = calculateMeanCO(dataset, indonesia);

// Get the CO values
var coValue_Australia = meanCO_Australia.get('CO_column_number_density');
var coValue_Indonesia = meanCO_Indonesia.get('CO_column_number_density');

// Compare the CO values
var difference = ee.Number(coValue_Australia).subtract(coValue_Indonesia);
var percentDifference = difference.divide(coValue_Indonesia).multiply(100);
var australiaHigher = ee.Number(coValue_Australia).gt(coValue_Indonesia);

// Print the results
print('Mean Australia CO (mol/m²):', coValue_Australia);
print('Mean Indonesia CO (mol/m²):', coValue_Indonesia);
print('Absolute Difference (mol/m²):', difference);
print('Percentage Difference (%):', percentDifference);
print('Does Australia show higher carbon monoxide than Indonesia?', australiaHigher);

// Calculate monthly mean CO
var meanCOImg = dataset.mean();

// Add layers to the map
Map.addLayer(meanCOImg.clip(australia), coVis, 'CO Australia Oct 2024');
Map.addLayer(meanCOImg.clip(indonesia), coVis, 'CO Indonesia Oct 2024');

// Add country boundaries
Map.addLayer(australia, {color: 'yellow'}, 'Australia Boundary');
Map.addLayer(indonesia, {color: 'white'}, 'Indonesia Boundary');

// Center the map to show both countries
// Use error margin for the union operation to avoid the error
var australiaBounds = australia.geometry().bounds();
var indonesiaBounds = indonesia.geometry().bounds();
var bothCountries = australiaBounds.union(indonesiaBounds, 1); // 1 meter error margin
Map.centerObject(bothCountries, 4);

// Additional analysis: Regional hotspots
// Create a threshold for high CO levels
var highCO = meanCOImg.gt(0.03); // Threshold for high CO (adjust as needed)

// Find high CO areas in both countries
var highCO_Australia = highCO.clip(australia);
var highCO_Indonesia = highCO.clip(indonesia);

// Calculate area of high CO in each country
var areaHighCO_Australia = highCO_Australia.multiply(ee.Image.pixelArea()).reduceRegion({
  reducer: ee.Reducer.sum(),
  geometry: australia,
  scale: 100000,
  maxPixels: 1e12
});

var areaHighCO_Indonesia = highCO_Indonesia.multiply(ee.Image.pixelArea()).reduceRegion({
  reducer: ee.Reducer.sum(),
  geometry: indonesia,
  scale: 100000,
  maxPixels: 1e12
});

// Print the high CO area results
print('Area with high CO in Australia (km²):', 
      ee.Number(areaHighCO_Australia.get('CO_column_number_density')).divide(1e6));
print('Area with high CO in Indonesia (km²):', 
      ee.Number(areaHighCO_Indonesia.get('CO_column_number_density')).divide(1e6));

// Additional visualization: Show high CO areas
var highCOVis = {
  palette: ['red']
};
Map.addLayer(highCO_Australia.selfMask(), highCOVis, 'High CO Areas Australia');
Map.addLayer(highCO_Indonesia.selfMask(), highCOVis, 'High CO Areas Indonesia');

// Analyze temporal variation within October 2024
var earlyOct = ee.ImageCollection('COPERNICUS/S5P/NRTI/L3_CO')
  .filter(ee.Filter.date('2024-10-01', '2024-10-15'))
  .select('CO_column_number_density')
  .mean();

var lateOct = ee.ImageCollection('COPERNICUS/S5P/NRTI/L3_CO')
  .filter(ee.Filter.date('2024-10-16', '2024-10-31'))
  .select('CO_column_number_density')
  .mean();

// Calculate mean CO for early and late October for each country
var earlyOct_Australia = earlyOct.reduceRegion({
  reducer: ee.Reducer.mean(),
  geometry: australia,
  scale: 10000,
  maxPixels: 1e12
}).get('CO_column_number_density');

var lateOct_Australia = lateOct.reduceRegion({
  reducer: ee.Reducer.mean(),
  geometry: australia,
  scale: 10000,
  maxPixels: 1e12
}).get('CO_column_number_density');

var earlyOct_Indonesia = earlyOct.reduceRegion({
  reducer: ee.Reducer.mean(),
  geometry: indonesia,
  scale: 10000,
  maxPixels: 1e12
}).get('CO_column_number_density');

var lateOct_Indonesia = lateOct.reduceRegion({
  reducer: ee.Reducer.mean(),
  geometry: indonesia,
  scale: 10000,
  maxPixels: 1e12
}).get('CO_column_number_density');

// Print temporal results
print('Early October Australia CO (mol/m²):', earlyOct_Australia);
print('Late October Australia CO (mol/m²):', lateOct_Australia);
print('Early October Indonesia CO (mol/m²):', earlyOct_Indonesia);
print('Late October Indonesia CO (mol/m²):', lateOct_Indonesia);",v1,1
"Does the valley fog coverage in the Upper Arrow Lake area decrease from morning to afternoon on October 22, 2018?",,https://earthobservatory.nasa.gov/images/144150/its-valley-fog-season,,"1. As the day progresses and temperatures rise, valley fog often fades away. The MODIS sensor on Aqua, which passed over the same area in early afternoon, highlighted the process. By afternoon, many of the areas that had been bathed in fog had cleared.
2. Website: https://worldview.earthdata.nasa.gov/?v=-121.31484440503583,48.58685804109225,-115.5889478009778,51.79486585359225&l=Reference_Labels_15m,Reference_Features_15m,Coastlines_15m,MODIS_Aqua_CorrectedReflectance_Bands721(hidden),MODIS_Terra_CorrectedReflectance_Bands721&lg=false&l1=Reference_Labels_15m,Reference_Features_15m,Coastlines_15m,MODIS_Aqua_CorrectedReflectance_Bands721,MODIS_Terra_CorrectedReflectance_Bands721&lg1=false&ca=false&cv=58&t=2018-10-22-T00%3A00%3A00Z&t1=2018-10-22-T00%3A00%3A00Z
",,,,https://code.earthengine.google.com/6983d57009ceba705b9a06450a998a24,"// Analysis of valley fog coverage in Upper Arrow Lake area
// comparing morning to afternoon on October 22, 2018

// Define the Upper Arrow Lake area in British Columbia, Canada
// var upperArrowLake = ee.Geometry.Rectangle([-118.35, 50.25, -117.75, 50.75]);
var upperArrowLake = ee.Geometry.Rectangle([-119.998, 49.570, -117.370, 50.999]);

// Load MODIS Terra (morning) and Aqua (afternoon) data for October 22, 2018
// Terra typically passes in the morning (~10:30 AM local time)
// Aqua typically passes in the afternoon (~1:30 PM local time)

// Morning data from Terra MODIS
var terraMorning = ee.ImageCollection('MODIS/061/MOD21A1D')
  .filter(ee.Filter.date('2018-10-22', '2018-10-23'))
  .first();

// Afternoon data from Aqua MODIS
var aquaAfternoon = ee.ImageCollection('MODIS/061/MYD21A1D')
  .filter(ee.Filter.date('2018-10-22', '2018-10-23'))
  .first();

// Function to extract cloud flag from QC band (bits 4-5)
function extractCloudFlag(image) {
  var qcBand = image.select('QC');
  // Extract bits 4-5 (cloud flag)
  // Shift right by 4 bits, then mask to keep only 2 bits
  var cloudFlag = qcBand.rightShift(4).bitwiseAnd(3);
  return cloudFlag;
}

// Extract cloud flags
var morningCloudFlag = extractCloudFlag(terraMorning);
var afternoonCloudFlag = extractCloudFlag(aquaAfternoon);

// Create masks for fog detection
// In valley fog analysis, we're looking for low clouds/fog in the morning
// that typically dissipate in the afternoon
// Valley fog would typically be classified as ""Cloudy pixel"" (value 3) in the cloud flag

// Create masks for fog (cloud flag = 3)
var morningFogMask = morningCloudFlag.eq(3);
var afternoonFogMask = afternoonCloudFlag.eq(3);

// Calculate fog coverage area for morning and afternoon
function calculateFogArea(fogMask, region) {
  var fogArea = fogMask.multiply(ee.Image.pixelArea()).reduceRegion({
    reducer: ee.Reducer.sum(),
    geometry: region,
    scale: 1000,  // MODIS resolution
    maxPixels: 1e12
  });
  return fogArea.get('QC');  // QC is the band name
}

var morningFogArea = calculateFogArea(morningFogMask, upperArrowLake);
var afternoonFogArea = calculateFogArea(afternoonFogMask, upperArrowLake);

// Calculate the change in fog coverage
var absoluteChange = ee.Number(afternoonFogArea).subtract(morningFogArea);
var percentChange = absoluteChange.divide(morningFogArea).multiply(100);

// Print results
print('Morning Fog Coverage Area (sq m):', morningFogArea);
print('Afternoon Fog Coverage Area (sq m):', afternoonFogArea);
print('Absolute Change in Fog Coverage (sq m):', absoluteChange);
print('Percentage Change in Fog Coverage (%):', percentChange);
print('Did fog coverage decrease from morning to afternoon?', 
      ee.Number(afternoonFogArea).lt(morningFogArea));

// Also calculate the percentage of the Upper Arrow Lake area covered by fog
var totalArea = upperArrowLake.area();
print('Total Upper Arrow Lake Area (sq m):', totalArea);
print('Morning Fog Coverage (% of area):', 
      ee.Number(morningFogArea).divide(totalArea).multiply(100));
print('Afternoon Fog Coverage (% of area):', 
      ee.Number(afternoonFogArea).divide(totalArea).multiply(100));

// Visualization
// Create a visualization of the cloud flag classes for both times
var cloudFlagVis = {
  min: 0,
  max: 3,
  palette: ['green', 'yellow', 'orange', 'white']
};

// Add false color composite for context (using LST and emissivity bands if available)
// If these bands aren't available, we'll use QC bands for visualization
var falseColorVis = {
  bands: ['QC'],
  min: 0,
  max: 255,
  gamma: 1.4
};

// Alternative visualization specifically for fog detection
var fogVis = {
  palette: ['000000', '0000FF']  // Black for no fog, blue for fog
};

// Center map on Upper Arrow Lake
Map.centerObject(upperArrowLake, 7);

// Add base layers
Map.addLayer(terraMorning, falseColorVis, 'Morning MODIS Terra Raw', false);
Map.addLayer(aquaAfternoon, falseColorVis, 'Afternoon MODIS Aqua Raw', false);

// Add cloud flag classification layers
Map.addLayer(morningCloudFlag, cloudFlagVis, 'Morning Cloud Flag', false);
Map.addLayer(afternoonCloudFlag, cloudFlagVis, 'Afternoon Cloud Flag', false);

// Add fog mask layers (the main result)
Map.addLayer(morningFogMask.selfMask(), fogVis, 'Morning Fog Coverage', true);
Map.addLayer(afternoonFogMask.selfMask(), {palette: ['FF0000']}, 'Afternoon Fog Coverage', true);

// Add the Upper Arrow Lake boundary
Map.addLayer(ee.FeatureCollection(upperArrowLake), {color: 'black'}, 'Upper Arrow Lake Area');

// Create a difference layer (fog present in morning but not afternoon)
var fogDissipated = morningFogMask.eq(1).and(afternoonFogMask.eq(0));
Map.addLayer(fogDissipated.selfMask(), {palette: ['yellow']}, 'Fog Dissipated', true);",v1,2
"Was there an algae bloom visible off the coast of Santa Monica on October 10,  2015?",,https://earthobservatory.nasa.gov/images/144156/monitoring-outflow-and-algae,,"The Operational Land Imager (OLI) on Landsat 8 acquired a natural-color image of Santa Monica Bay (above) on October 10, 2015, midway through the shutdown. The green patches near the coast are phytoplankton blooms likely caused by an excess of nutrients from the nearshore wastewater discharge.",,,,,,v2,3
"Does the snow cover in southern Siberia increase between October 14, 2018 and October 29, 2018?",,https://earthobservatory.nasa.gov/images/144186/october-snow-in-siberia,,"1. Image: The left image was taken on October 14, 2018, while the right image shows the region covered with snow on October 29.",,,,https://code.earthengine.google.com/7d1729cdf553c6cf087b76278307a553,"// Define Southern Siberia region (approximate bounds)
var southernSiberia = ee.Geometry.Rectangle([94.49481025986987, 51.69942865837741, 124.37762275986987, 67.79241448202215]);

// Get MODIS data for both dates
var dataset_Oct14 = ee.ImageCollection('MODIS/061/MOD09GA')
  .filter(ee.Filter.date('2018-10-14', '2018-10-15'))
  .map(function(img){
    return img.add(-100).multiply(0.0001);
  })
  .filterBounds(southernSiberia);

var dataset_Oct29 = ee.ImageCollection('MODIS/061/MOD09GA')
  .filter(ee.Filter.date('2018-10-29', '2018-10-30'))
  .map(function(img){
    return img.add(-100).multiply(0.0001);
  })
  .filterBounds(southernSiberia);

// Function to calculate NDSI (Normalized Difference Snow Index)
var calculateNDSI = function(image) {
  var green = image.select('sur_refl_b04'); // Band 4 (Green)
  var swir = image.select('sur_refl_b06'); // Band 6 (SWIR)
  var ndsi = green.subtract(swir).divide(green.add(swir));
  return ndsi.rename('NDSI');
};

// Calculate NDSI for both dates
var ndsi_Oct14 = dataset_Oct14.map(calculateNDSI).mosaic().clip(southernSiberia);
var ndsi_Oct29 = dataset_Oct29.map(calculateNDSI).mosaic().clip(southernSiberia);

// Define NDSI threshold for snow detection
var ndsiThreshold = 0.4;

// Create snow masks
var snowMask_Oct14 = ndsi_Oct14.gte(ndsiThreshold);
var snowMask_Oct29 = ndsi_Oct29.gte(ndsiThreshold);

// Calculate snow area (in pixels)
var snowArea_Oct14 = snowMask_Oct14.reduceRegion({
  reducer: ee.Reducer.sum(),
  geometry: southernSiberia,
  scale: 500, // MODIS resolution
  maxPixels: 1e13
}).get('NDSI');

var snowArea_Oct29 = snowMask_Oct29.reduceRegion({
  reducer: ee.Reducer.sum(),
  geometry: southernSiberia,
  scale: 500, // MODIS resolution
  maxPixels: 1e13
}).get('NDSI');

// Calculate the total area in km²
var pixelArea = 500 * 500 / 1000000; // area of one pixel in km²

// Convert snow pixels to area in km²
var snowAreaKm2_Oct14 = ee.Number(snowArea_Oct14).multiply(pixelArea);
var snowAreaKm2_Oct29 = ee.Number(snowArea_Oct29).multiply(pixelArea);

// Calculate percentage change
var snowChangePercent = ee.Number(snowAreaKm2_Oct29).subtract(snowAreaKm2_Oct14)
  .divide(snowAreaKm2_Oct14).multiply(100);

// Print snow areas and change
print(""Oct 14, 2018 snow area (pixels):"", snowArea_Oct14);
print(""Oct 29, 2018 snow area (pixels):"", snowArea_Oct29);
print(""Oct 14, 2018 snow area (km²):"", snowAreaKm2_Oct14);
print(""Oct 29, 2018 snow area (km²):"", snowAreaKm2_Oct29);
print(""Change in snow area (%):"", snowChangePercent);

// Determine if snow cover increased
var hasIncreased = ee.Number(snowArea_Oct29).gt(snowArea_Oct14);
print(""Did snow cover increase?"", hasIncreased);

// Visualize RGB image
var trueColorVis = {
  min: 0.0,
  max: 0.3,
  bands: ['sur_refl_b01', 'sur_refl_b04', 'sur_refl_b03'], // Red, Green, Blue
};

// Visualize NDSI
var ndsiVis = {
  min: -1,
  max: 1,
  palette: ['blue', 'white', 'green']
};

// Visualize snow mask
var snowMaskVis = {
  min: 0,
  max: 1,
  palette: ['black','white']
};

// Calculate the snow cover difference (positive values indicate increase)
var snowCoverDifference = snowMask_Oct29.subtract(snowMask_Oct14);

// Visualize the difference
var diffVis = {
  min: -1,
  max: 1,
  palette: ['red', 'black', 'blue'] // Decrease, No change, Increase
};

// Add layers to the map
Map.centerObject(southernSiberia, 5);

// Add true color images
var trueColor_Oct14 = dataset_Oct14.mosaic().clip(southernSiberia);
var trueColor_Oct29 = dataset_Oct29.mosaic().clip(southernSiberia);
Map.addLayer(trueColor_Oct14, trueColorVis, 'Oct 14 True Color');
Map.addLayer(trueColor_Oct29, trueColorVis, 'Oct 29 True Color');

// Add NDSI layers
Map.addLayer(ndsi_Oct14, ndsiVis, 'Oct 14 NDSI', false);
Map.addLayer(ndsi_Oct29, ndsiVis, 'Oct 29 NDSI', false);

// Add snow mask layers
Map.addLayer(snowMask_Oct14.updateMask(snowMask_Oct14), snowMaskVis, 'Oct 14 Snow Mask');
Map.addLayer(snowMask_Oct29.updateMask(snowMask_Oct29), snowMaskVis, 'Oct 29 Snow Mask');

// Add the snow cover difference layer
Map.addLayer(snowCoverDifference, diffVis, 'Snow Cover Change (blue = increase)');
",v1,4
"Was there an active fire present near Paradise, California between November 7, 2018 to November 10, 2018?",,https://earthobservatory.nasa.gov/images/144225/camp-fire-rages-in-california,,"On November 8, 2018, the Camp Fire erupted 90 miles (140 kilometers) north of Sacramento, California. As of 10 a.m. Pacific Standard Time on November 9, the fire had consumed 70,000 acres of land and was five percent contained, or surrounded by a barrier.",,,,,,v2,5
"Did Wilmington, North Carolina receive at least 90 inches of rainfall during the year of 2018?",,https://earthobservatory.nasa.gov/images/144417/soggy-2018-for-the-eastern-us,,"Wilmington, North Carolina, has received a whopping 99.98 inches so far this year.",,,,,,v2,6
"During the year of 2018, did Washington D.C. experience at least 50 inches of rainfall?",,https://earthobservatory.nasa.gov/images/144417/soggy-2018-for-the-eastern-us,,"Several major cities received exceptional rainfall in 2018. Washington, D.C., surpassed the previous annual rainfall record of 61.33 inches set in 1889, accumulating 64.22 inches by the date of this map",,,,,,v2,7
"Between January 29 and February 5, 2019, was there at least a 22 degree Celcius difference in the highest daily air temperature at 2 meters in Boston, MA?",,https://earthobservatory.nasa.gov/images/144516/wild-winter-temperature-swings,,Measurements reported by the National Weather Service show that the daily high temperature in Boston jumped 26°C (47°F) between January 29 and February 5. New York and Washington D.C. warmed warmed by about 27°C.,,,,,,v2,8
"Between January 29 and February 5, 2019, was there at least a 30 degree Celcius difference in the highest daily air temperature at 2 meters in Boston, MA?",no,https://earthobservatory.nasa.gov/images/144516/wild-winter-temperature-swings,,Measurements reported by the National Weather Service show that the daily high temperature in Boston jumped 26°C (47°F) between January 29 and February 5. New York and Washington D.C. warmed warmed by about 27°C.,,,,,,v2,9
"Did New York experience an air temperature difference of at least 24 degrees Celcius between January 29 and February 5, 2019?",,https://earthobservatory.nasa.gov/images/144516/wild-winter-temperature-swings,,Measurements reported by the National Weather Service show that the daily high temperature in Boston jumped 26°C (47°F) between January 29 and February 5. New York and Washington D.C. warmed warmed by about 27°C.,,,,,,v2,10
